"tractID","CCA","blocks","pop","HH","pctPop","pctHH"
"17031300900","SOUTH LAWNDALE",39,2035,771,1,1
"17031301100","SOUTH LAWNDALE",25,1352,618,1,1
"17031301200","SOUTH LAWNDALE",42,2951,1268,1,1
"17031301600","SOUTH LAWNDALE",34,2201,815,1,1
"17031301701","SOUTH LAWNDALE",35,1386,532,1,1
"17031301702","SOUTH LAWNDALE",29,1529,531,1,1
"17031301801","SOUTH LAWNDALE",51,2700,1131,1,1
"17031301802","SOUTH LAWNDALE",55,2490,1105,1,1
"17031301803","SOUTH LAWNDALE",39,3053,1268,1,1
"17031310200","LOWER WEST SIDE",58,4369,2446,1,1
"17031310300","LOWER WEST SIDE",47,2436,1106,1,1
"17031310400","LOWER WEST SIDE",22,1115,603,1,1
"17031310500","LOWER WEST SIDE",33,1424,518,1,1
"17031310600","LOWER WEST SIDE",67,2808,1104,1,1
"17031310700","LOWER WEST SIDE",23,1055,394,1,1
"17031310800","LOWER WEST SIDE",38,2773,1162,1,1
"17031310900","LOWER WEST SIDE",42,3067,1301,1,1
"17031320100","LOOP",103,6759,3043,1,1
"17031320400","LOOP",44,1954,775,0.996938775510204,0.997425997425997
"17031320400",NA,1,6,2,0.00306122448979592,0.00257400257400257
"17031320600","LOOP",31,1638,789,1,1
"17031330100","NEAR SOUTH SIDE",134,8000,3466,0.961654044957327,0.957723127935894
"17031330100",NA,5,319,153,0.0383459550426734,0.0422768720641061
"17031330200","LOOP",1,49,17,0.0266739248775177,0.0218508997429306
"17031330200","NEAR SOUTH SIDE",43,1788,761,0.973326075122482,0.978149100257069
"17031340300","ARMOUR SQUARE",41,2628,932,1,1
"17031340400","ARMOUR SQUARE",36,1675,681,1,1
"17031340500","ARMOUR SQUARE",43,1823,768,1,1
"17031340600","ARMOUR SQUARE",31,1386,587,0.992125984251969,0.993231810490694
"17031340600","BRIDGEPORT",1,11,4,0.0078740157480315,0.00676818950930626
"17031350100","DOUGLAS",24,1187,516,0.873436350257542,0.897391304347826
"17031350100",NA,2,172,59,0.126563649742458,0.102608695652174
"17031350400","DOUGLAS",11,805,479,1,1
"17031351000","DOUGLAS",28,1327,553,0.975735294117647,0.977031802120141
"17031351000",NA,2,33,13,0.0242647058823529,0.0229681978798587
"17031351100","DOUGLAS",17,610,270,1,1
"17031351400","DOUGLAS",36,1764,801,1,1
"17031351500","DOUGLAS",11,1330,841,1,1
"17031360200","OAKLAND",16,1533,767,1,1
"17031380100","GRAND BOULEVARD",37,2132,1019,1,1
"17031380200","GRAND BOULEVARD",22,1071,393,1,1
"17031380500","GRAND BOULEVARD",9,855,321,1,1
"17031380700","GRAND BOULEVARD",18,672,260,1,1
"17031381200","GRAND BOULEVARD",37,1514,753,1,1
"17031381400","GRAND BOULEVARD",24,1075,421,1,1
"17031381500","GRAND BOULEVARD",8,248,86,1,1
"17031381700","GRAND BOULEVARD",2,114,50,1,1
"17031381800","GRAND BOULEVARD",23,1065,437,1,1
"17031381900","GRAND BOULEVARD",19,1397,497,1,1
"17031390100","KENWOOD",18,1506,631,0.930203829524398,0.950301204819277
"17031390100",NA,2,113,33,0.0697961704756022,0.0496987951807229
"17031390200","KENWOOD",22,1216,529,1,1
"17031390300","KENWOOD",26,963,441,1,1
"17031390400","KENWOOD",24,1188,501,1,1
"17031390500","KENWOOD",10,592,240,1,1
"17031390600","KENWOOD",18,498,194,1,1
"17031390700","HYDE PARK",2,58,16,0.0269767441860465,0.0160965794768612
"17031390700","KENWOOD",39,2092,978,0.973023255813953,0.983903420523139
"17031400300","WASHINGTON PARK",35,1878,939,1,1
"17031400400","WASHINGTON PARK",29,1211,576,1,1
"17031400500","WASHINGTON PARK",27,1383,583,1,1
"17031400800","WASHINGTON PARK",24,792,334,1,1
"17031410100","HYDE PARK",13,764,313,1,1
"17031410200","HYDE PARK",6,165,65,1,1
"17031410500","HYDE PARK",21,1414,746,1,1
