BLOCK,TRACT,CCA,TR_POP_RAT,TR_HH_RAT,TR_HU_RAT
170310105031000,17031010503,Rogers Park,0.06768559,0.090371622,0.11143695
170310106003011,17031010600,Rogers Park,0.026898475,0.028202514,0.029439108
170310106004008,17031010600,Rogers Park,0.016565524,0.019367992,0.022931515
170310106004014,17031010600,Rogers Park,0.056257176,0.049949032,0.049271769
170310106002002,17031010600,Rogers Park,0.00967689,0.009174312,0.008366904
170310106001004,17031010600,Rogers Park,0.027226505,0.034998301,0.034397273
170310106001015,17031010600,Rogers Park,0.008528785,0.007135576,0.007437248
170310106004001,17031010600,Rogers Park,0,0,0
170310106004010,17031010600,Rogers Park,0.032639003,0.02038736,0.024171057
170310106001016,17031010600,Rogers Park,0.011809086,0.008494733,0.008986675
170310106004009,17031010600,Rogers Park,0.021321962,0.021746517,0.023551286
170310106003001,17031010600,Rogers Park,0.030014761,0.032279986,0.030058878
170310106001012,17031010600,Rogers Park,0.007380679,0.006795787,0.007127363
170310106001020,17031010600,Rogers Park,0.014925373,0.012232416,0.012085528
170310106001010,17031010600,Rogers Park,0.026242414,0.03058104,0.028819337
170310106003002,17031010600,Rogers Park,0.022306052,0.018348624,0.017353579
170310106003007,17031010600,Rogers Park,0.041987863,0.048250085,0.044933375
170310106003000,17031010600,Rogers Park,0.02673446,0.030920829,0.029439108
170310106003006,17031010600,Rogers Park,0.024438248,0.025823989,0.029748993
170310106003008,17031010600,Rogers Park,0.023782188,0.027183146,0.027579795
170310106002004,17031010600,Rogers Park,0.011481056,0.010533469,0.010536102
170310106004000,17031010600,Rogers Park,0,0,0
170310106004005,17031010600,Rogers Park,0,0,0
170310106004007,17031010600,Rogers Park,0.037887486,0.04553177,0.048961884
170310106001013,17031010600,Rogers Park,0.004264392,0.00509684,0.005268051
170310106001021,17031010600,Rogers Park,0.007708709,0.007815155,0.007437248
170310106004006,17031010600,Rogers Park,0,0,0
170310106001000,17031010600,Rogers Park,0,0,0
170310106001018,17031010600,Rogers Park,0.003280302,0.002718315,0.002788968
170310106003009,17031010600,Rogers Park,0.034935214,0.036017669,0.033777502
170310106004003,17031010600,Rogers Park,0.001476136,0.001359157,0.001239541
170310106004011,17031010600,Rogers Park,0.023782188,0.034998301,0.033777502
170310106001003,17031010600,Rogers Park,0.035263244,0.043493034,0.045553145
170310106004004,17031010600,Rogers Park,0.007216664,0.008494733,0.008057019
170310106001006,17031010600,Rogers Park,0.022142037,0.019707781,0.018283235
170310106001007,17031010600,Rogers Park,0.011973102,0.012911995,0.012085528
170310106004002,17031010600,Rogers Park,0.019353781,0.026503568,0.029439108
170310106004013,17031010600,Rogers Park,0.014761358,0.011892627,0.012705299
170310106002000,17031010600,Rogers Park,0,0,0
170310106002003,17031010600,Rogers Park,0.010496966,0.006795787,0.006197707
170310106001022,17031010600,Rogers Park,0,0,0
170310106003003,17031010600,Rogers Park,0.025750369,0.022426096,0.021382089
170310106001019,17031010600,Rogers Park,0.018533705,0.023445464,0.022001859
170310106002005,17031010600,Rogers Park,0.047892406,0.044172613,0.043383948
170310106002007,17031010600,Rogers Park,0,0,0
170310106001002,17031010600,Rogers Park,0,0,0
170310106001014,17031010600,Rogers Park,0.012793177,0.013251784,0.013015184
170310106002006,17031010600,Rogers Park,0.029522716,0.004077472,0.003718624
170310106001001,17031010600,Rogers Park,0,0,0
170310106003005,17031010600,Rogers Park,0.016729539,0.016649677,0.016114038
170310106001009,17031010600,Rogers Park,0.044776119,0.04553177,0.043693833
170310106001005,17031010600,Rogers Park,0.015417418,0.016989467,0.017663465
170310106001011,17031010600,Rogers Park,0.013449237,0.009853891,0.008986675
170310106003004,17031010600,Rogers Park,0.019517796,0.02038736,0.019522777
170310106004012,17031010600,Rogers Park,0.007544694,0.008494733,0.00929656
170310106003012,17031010600,Rogers Park,0,0,0
170310106003010,17031010600,Rogers Park,0.018205675,0.018688413,0.018283235
170310106001008,17031010600,Rogers Park,0.017057569,0.020727149,0.021072203
170310106001017,17031010600,Rogers Park,0.007380679,0.004417261,0.006197707
170310106002001,17031010600,Rogers Park,0.030670822,0.02514441,0.023861171
170310106002008,17031010600,Rogers Park,0,0,0
170310107011004,17031010701,Rogers Park,0.048654244,0.042345277,0.040606061
170310107011001,17031010701,Rogers Park,0.012163561,0.01237785,0.011515152
170310107011011,17031010701,Rogers Park,0.024327122,0.022149837,0.021818182
170310107011014,17031010701,Rogers Park,0.028985507,0.036482085,0.036363636
170310107011017,17031010701,Rogers Park,0.02820911,0.026058632,0.026060606
170310107011008,17031010701,Rogers Park,0.016304348,0.016938111,0.018181818
170310107012002,17031010701,Rogers Park,0.031055901,0.025407166,0.024848485
170310107012016,17031010701,Rogers Park,0.010610766,0.009771987,0.009090909
170310107011000,17031010701,Rogers Park,0,0,0
